,Media Sources,Tweet Polarity,Positive,Negative,Neutral,Tweets Ago,Date
278,@CNN,0.0258,0.105,0.1,0.795,79,Tue Mar 27 02:26:00 +0000 2018
279,@CNN,0.1901,0.077,0.0,0.923,80,Tue Mar 27 02:26:00 +0000 2018
280,@CNN,0.4939,0.138,0.0,0.862,81,Tue Mar 27 02:25:59 +0000 2018
281,@CNN,-0.34,0.0,0.103,0.897,82,Tue Mar 27 02:25:59 +0000 2018
282,@CNN,0.0,0.0,0.0,1.0,83,Tue Mar 27 02:25:58 +0000 2018
283,@CNN,0.0,0.0,0.0,1.0,84,Tue Mar 27 02:25:58 +0000 2018
284,@CNN,0.3612,0.176,0.113,0.711,85,Tue Mar 27 02:25:58 +0000 2018
285,@CNN,0.4215,0.18,0.054,0.766,86,Tue Mar 27 02:25:58 +0000 2018
286,@CNN,-0.296,0.0,0.115,0.885,87,Tue Mar 27 02:25:57 +0000 2018
287,@CNN,0.6369,0.261,0.103,0.636,88,Tue Mar 27 02:25:57 +0000 2018
288,@CNN,0.3612,0.111,0.0,0.889,89,Tue Mar 27 02:25:55 +0000 2018
289,@CNN,0.0,0.0,0.0,1.0,90,Tue Mar 27 02:25:55 +0000 2018
290,@CNN,0.5106,0.216,0.0,0.784,91,Tue Mar 27 02:25:55 +0000 2018
291,@CNN,-0.6808,0.0,0.195,0.805,92,Tue Mar 27 02:25:55 +0000 2018
292,@CNN,0.4404,0.153,0.0,0.847,93,Tue Mar 27 02:25:54 +0000 2018
293,@CNN,0.0,0.0,0.0,1.0,94,Tue Mar 27 02:25:53 +0000 2018
294,@CNN,-0.2023,0.0,0.076,0.924,95,Tue Mar 27 02:25:53 +0000 2018
295,@CNN,0.0,0.0,0.0,1.0,96,Tue Mar 27 02:25:53 +0000 2018
296,@CNN,0.0,0.0,0.0,1.0,97,Tue Mar 27 02:25:53 +0000 2018
297,@CNN,0.1531,0.074,0.0,0.926,98,Tue Mar 27 02:25:52 +0000 2018
298,@CNN,0.0,0.0,0.0,1.0,99,Tue Mar 27 02:25:52 +0000 2018
299,@CNN,-0.3818,0.0,0.12,0.88,100,Tue Mar 27 02:25:52 +0000 2018
300,@FoxNews,-0.4151,0.1,0.18,0.72,1,Tue Mar 27 02:26:50 +0000 2018
301,@FoxNews,0.6008,0.185,0.055,0.76,2,Tue Mar 27 02:26:49 +0000 2018
302,@FoxNews,0.4404,0.195,0.0,0.805,3,Tue Mar 27 02:26:49 +0000 2018
303,@FoxNews,0.0,0.0,0.0,1.0,4,Tue Mar 27 02:26:49 +0000 2018
304,@FoxNews,0.0,0.0,0.0,1.0,5,Tue Mar 27 02:26:49 +0000 2018
305,@FoxNews,0.0,0.0,0.0,1.0,6,Tue Mar 27 02:26:49 +0000 2018
306,@FoxNews,0.2815,0.201,0.102,0.697,7,Tue Mar 27 02:26:48 +0000 2018
307,@FoxNews,0.0,0.0,0.0,1.0,8,Tue Mar 27 02:26:48 +0000 2018
308,@FoxNews,0.0,0.0,0.0,1.0,9,Tue Mar 27 02:26:48 +0000 2018
309,@FoxNews,-0.0516,0.049,0.056,0.896,10,Tue Mar 27 02:26:47 +0000 2018
310,@FoxNews,-0.25,0.156,0.281,0.562,11,Tue Mar 27 02:26:47 +0000 2018
311,@FoxNews,0.0,0.0,0.0,1.0,12,Tue Mar 27 02:26:47 +0000 2018
312,@FoxNews,-0.5216,0.097,0.245,0.659,13,Tue Mar 27 02:26:47 +0000 2018
313,@FoxNews,0.0,0.0,0.0,1.0,14,Tue Mar 27 02:26:46 +0000 2018
314,@FoxNews,-0.5106,0.0,0.32,0.68,15,Tue Mar 27 02:26:46 +0000 2018
315,@FoxNews,0.0,0.0,0.0,1.0,16,Tue Mar 27 02:26:45 +0000 2018
316,@FoxNews,0.0747,0.157,0.188,0.655,17,Tue Mar 27 02:26:45 +0000 2018
317,@FoxNews,0.0,0.0,0.0,1.0,18,Tue Mar 27 02:26:44 +0000 2018
318,@FoxNews,0.0,0.0,0.0,1.0,19,Tue Mar 27 02:26:44 +0000 2018
319,@FoxNews,-0.0572,0.0,0.06,0.94,20,Tue Mar 27 02:26:44 +0000 2018
320,@FoxNews,-0.4151,0.1,0.18,0.72,21,Tue Mar 27 02:26:43 +0000 2018
321,@FoxNews,-0.4717,0.0,0.146,0.854,22,Tue Mar 27 02:26:43 +0000 2018
322,@FoxNews,-0.34,0.0,0.138,0.862,23,Tue Mar 27 02:26:43 +0000 2018
323,@FoxNews,0.0,0.0,0.0,1.0,24,Tue Mar 27 02:26:42 +0000 2018
324,@FoxNews,-0.4151,0.1,0.18,0.72,25,Tue Mar 27 02:26:42 +0000 2018
325,@FoxNews,0.0,0.0,0.0,1.0,26,Tue Mar 27 02:26:41 +0000 2018
326,@FoxNews,0.0,0.0,0.0,1.0,27,Tue Mar 27 02:26:40 +0000 2018
327,@FoxNews,-0.4939,0.0,0.198,0.802,28,Tue Mar 27 02:26:40 +0000 2018
328,@FoxNews,0.0,0.0,0.0,1.0,29,Tue Mar 27 02:26:39 +0000 2018
329,@FoxNews,0.0,0.0,0.0,1.0,30,Tue Mar 27 02:26:39 +0000 2018
